time,x,y,theta
3.42,0.002099027,-0.013453195,0.016263763
3.43,0.002125824,-0.013493842,0.016233169
3.44,0.002211818,-0.013446992,0.016243052
3.45,0.002177611,-0.01346431,0.016251481
3.46,0.002104272,-0.013504958,0.016249596
3.47,0.002107947,-0.013525093,0.016248756
3.48,0.002177313,-0.013516993,0.016248062
3.49,0.002240895,-0.013487256,0.016235608
3.5,0.002167953,-0.013508598,0.016227704
3.51,0.002067824,-0.013540339,0.01622025
3.52,0.002127519,-0.013522638,0.016234182
3.53,0.002215321,-0.013454117,0.016264303
3.54,0.002196633,-0.013456728,0.016249038
3.55,0.002096397,-0.013514463,0.016232423
3.56,0.002162734,-0.013450352,0.016241873
3.57,0.002204573,-0.013401578,0.016253887
3.58,0.002114718,-0.013448183,0.016249467
3.59,0.002061123,-0.01350644,0.016243952
3.6,0.002177111,-0.01349042,0.016250014
3.61,0.002262464,-0.013452631,0.016265537
3.62,0.002137159,-0.013475499,0.016263197
3.63,0.002033582,-0.013533194,0.016254258
3.64,0.002114924,-0.013578144,0.016265596
3.65,0.00225639,-0.013553062,0.016287688
3.66,0.002241171,-0.013479629,0.016289539
3.67,0.002091893,-0.013437635,0.01627596
3.68,0.002059337,-0.013469118,0.016281036
3.69,0.002211622,-0.013490614,0.016297071
3.7,0.002169312,-0.013479762,0.016306904
3.71,0.002055972,-0.013484615,0.016305705
3.72,0.002131505,-0.013481403,0.01629912
3.73,0.002189816,-0.013500859,0.016298946
3.74,0.002175403,-0.013491463,0.01629893
3.75,0.002115316,-0.013479584,0.01629996
3.76,0.002086903,-0.013504908,0.016298495
3.77,0.002183759,-0.013507244,0.016303018
3.78,0.002177669,-0.013508301,0.016299258
3.79,0.002152802,-0.013512396,0.01628749
3.8,0.002092886,-0.013530518,0.016282198
3.81,0.002195047,-0.013500882,0.016284046
3.82,0.002219275,-0.013484949,0.016286324
3.83,0.002147177,-0.013479952,0.016294755
3.84,0.002066097,-0.013454692,0.016294964
3.85,0.002133901,-0.013408091,0.016286502
3.86,0.002173021,-0.013485564,0.016280518
3.87,0.002193497,-0.013551245,0.016278809
3.88,0.002137098,-0.013511361,0.01628587
3.89,0.00211177,-0.013468979,0.016289858
3.9,0.002119385,-0.013432451,0.016292084
3.91,0.002154874,-0.013440014,0.016277381
3.92,0.002167491,-0.013495959,0.016268673
3.93,0.002167871,-0.013558496,0.016256735
3.94,0.00211799,-0.013491232,0.016264181
3.95,0.002160707,-0.013492438,0.016269932
3.96,0.002155942,-0.013480459,0.016270009
3.97,0.002116315,-0.013485178,0.01626575
3.98,0.002133098,-0.013489315,0.016251455
3.99,0.002193391,-0.01349628,0.016252305
4,0.002203107,-0.013482731,0.016246652
4.01,0.002145185,-0.013463615,0.016254501
4.02,0.00209238,-0.013494072,0.016261833
4.03,0.002118525,-0.0135604,0.01625956
4.04,0.002236265,-0.013526183,0.016247642
4.05,0.002201862,-0.013469129,0.01623636
4.06,0.002044501,-0.013474928,0.016246453
4.07,0.002161671,-0.013512748,0.016259502
4.08,0.002207478,-0.013510971,0.016267956
4.09,0.002156256,-0.013449066,0.016273208
4.1,0.002073775,-0.013449454,0.016270324
4.11,0.002120821,-0.01349086,0.016258406
4.12,0.002200386,-0.013474282,0.016264238
4.13,0.002169158,-0.013451511,0.016270164
4.14,0.002123469,-0.013463199,0.01626555
4.15,0.002121713,-0.013492927,0.0162564
4.16,0.002168131,-0.01349321,0.016239301
4.17,0.002180731,-0.013515777,0.016235172
4.18,0.002158536,-0.01353512,0.016248918
4.19,0.002116974,-0.013560984,0.016258337
4.2,0.002210415,-0.013526937,0.016275404
4.21,0.002214461,-0.013515916,0.016298328
4.22,0.002104564,-0.013481097,0.016299233
4.23,0.002081353,-0.013447726,0.016304574
4.24,0.002160238,-0.013443323,0.016299826
4.25,0.00219169,-0.013461448,0.016306821
4.26,0.002176281,-0.013468826,0.016311823
4.27,0.002084034,-0.013485505,0.016308018
4.28,0.002107579,-0.013445699,0.016296168
4.29,0.002180704,-0.013387638,0.016279219
4.3,0.002160837,-0.013435558,0.016259936
4.31,0.002145842,-0.013551979,0.016250621
4.32,0.002224582,-0.01350107,0.016250465
4.33,0.002197013,-0.013469532,0.016262057
4.34,0.002119082,-0.013499678,0.016278573
4.35,0.002105457,-0.013578791,0.016288435
4.36,0.002205801,-0.013574434,0.016293356
4.37,0.002247906,-0.013472885,0.016294646
4.38,0.002129401,-0.013427326,0.016298785
4.39,0.002103595,-0.013467577,0.016295409
4.4,0.002132921,-0.013528006,0.016300988
4.41,0.0021801,-0.013538116,0.016295257
4.42,0.002165611,-0.013483125,0.016291688
4.43,0.002158524,-0.013434025,0.016283089
4.44,0.002155438,-0.013470377,0.016267419
4.45,0.002132951,-0.013450611,0.01625799
4.46,0.002143143,-0.013453674,0.016253852
4.47,0.002195719,-0.013494419,0.016252066
4.48,0.002174675,-0.013532926,0.016252097
4.49,0.002140104,-0.013553873,0.016270185
4.5,0.002131866,-0.013532505,0.016273917
4.51,0.002161753,-0.013503809,0.016274567
4.52,0.002176199,-0.01346617,0.01625304
4.53,0.002126865,-0.013441211,0.016232798
4.54,0.002131165,-0.013486024,0.016236338
4.55,0.002207957,-0.013526367,0.016242495
4.56,0.002112437,-0.013464225,0.016248782
4.57,0.002082912,-0.013451056,0.016245495
4.58,0.002172541,-0.013501233,0.016232839
4.59,0.00224719,-0.013562147,0.016202908
4.6,0.002188909,-0.013532454,0.016185302
4.61,0.002085847,-0.013473772,0.016190805
4.62,0.002101956,-0.013482225,0.016207538
4.63,0.002200894,-0.013540583,0.016215022
4.64,0.002243802,-0.013579092,0.016216563
4.65,0.002149061,-0.013536192,0.016227732
4.66,0.002090153,-0.013434395,0.016241615
4.67,0.002131345,-0.013370401,0.016244626
4.68,0.002195587,-0.013425844,0.016234042
4.69,0.002135284,-0.013509927,0.016253062
4.7,0.002144893,-0.01346153,0.016269747
4.71,0.002182661,-0.013443238,0.016269274
4.72,0.002176131,-0.013488776,0.016271246
4.73,0.002129222,-0.013545817,0.01627516
4.74,0.002131918,-0.013506616,0.016279664
4.75,0.00217807,-0.013434068,0.016272677
4.76,0.002183117,-0.013469934,0.016254094
4.77,0.002173424,-0.013532799,0.016257231
4.78,0.002164238,-0.013505158,0.0162755
4.79,0.002143023,-0.013453255,0.016268226
4.8,0.002140884,-0.013468454,0.016254593
4.81,0.002186057,-0.0135133,0.016252499
4.82,0.002213596,-0.01346807,0.016254589
4.83,0.002126969,-0.01342491,0.016256073
4.84,0.002059948,-0.013433103,0.01625097
4.85,0.002152919,-0.013446373,0.016247944
4.86,0.002239041,-0.013479969,0.016246431
4.87,0.002191481,-0.013528408,0.016245577
4.88,0.00212536,-0.013539651,0.01625089
4.89,0.002103735,-0.013514824,0.016264022
4.9,0.002189308,-0.013474054,0.016282123
4.91,0.002187075,-0.013467092,0.016277051
4.92,0.002171409,-0.013511397,0.016270317
4.93,0.002129172,-0.013533696,0.016272659
4.94,0.002183338,-0.013402274,0.01627989
4.95,0.002120395,-0.013444224,0.01627646
4.96,0.002101768,-0.013489367,0.016268264
4.97,0.002154675,-0.013473039,0.016258092
4.98,0.00226258,-0.013433806,0.01624993
4.99,0.002160362,-0.013428206,0.016243063
5,0.00209143,-0.013455098,0.016237398
5.01,0.002094448,-0.013515961,0.016245354
5.02,0.002215196,-0.013530908,0.016258026
5.03,0.002231067,-0.01353677,0.016270217
5.04,0.00211676,-0.013536359,0.016271607
5.05,0.002134973,-0.013489874,0.016272193
5.06,0.002161119,-0.013494225,0.016278614
5.07,0.002142394,-0.013485843,0.016295158
5.08,0.002164711,-0.013463515,0.016296824
5.09,0.002163945,-0.013462828,0.016298293
5.1,0.002185751,-0.013466981,0.016290712
5.11,0.002128399,-0.013456383,0.016294039
5.12,0.002099059,-0.013465198,0.016286598
5.13,0.002139524,-0.013465385,0.016268056
5.14,0.002201806,-0.013455442,0.016261272
5.15,0.002164492,-0.013479282,0.016261104
5.16,0.002123584,-0.013496758,0.016263727
5.17,0.002178131,-0.013516463,0.016260391
5.18,0.002142389,-0.013482301,0.016262609
5.19,0.002142865,-0.013496667,0.016263873
5.2,0.002198664,-0.013527584,0.016265169
5.21,0.002184463,-0.01353213,0.016254493
5.22,0.002116715,-0.013482723,0.01625096
5.23,0.002090682,-0.013442735,0.016253223
5.24,0.002147091,-0.013452712,0.016254812
5.25,0.002184618,-0.013493462,0.016249995
5.26,0.002176548,-0.013487584,0.016246631
5.27,0.002129038,-0.013469399,0.016245632
5.28,0.002112711,-0.013500234,0.016243848
5.29,0.002167915,-0.013505964,0.01624481
5.3,0.002199945,-0.01345107,0.016253874
5.31,0.002157075,-0.013513829,0.016251268
5.32,0.002169946,-0.013512166,0.016256019
5.33,0.002150058,-0.013475258,0.016256023
5.34,0.002129065,-0.013466585,0.016261192
5.35,0.00213747,-0.013523663,0.016269493
5.36,0.002168881,-0.013559857,0.016275714
5.37,0.002226131,-0.013500374,0.016280494
5.38,0.002143555,-0.013428854,0.016292106
5.39,0.00207515,-0.013457237,0.016281104
5.4,0.002110498,-0.013530828,0.016267753
5.41,0.00221761,-0.013520115,0.016274425
5.42,0.002216777,-0.01350402,0.016273351
5.43,0.002139258,-0.013505125,0.016288675
5.44,0.002171568,-0.013534939,0.016291479
5.45,0.002228655,-0.013475528,0.016295068
5.46,0.002168644,-0.013461339,0.016297629
5.47,0.00210429,-0.013481651,0.016289848
5.48,0.002127556,-0.01349023,0.016279886
5.49,0.002203146,-0.013486818,0.016271685
5.5,0.002177003,-0.013484114,0.01626908
5.51,0.002109058,-0.013502914,0.016274463
5.52,0.002103177,-0.013490081,0.016278271
5.53,0.002194516,-0.013466825,0.016267717
5.54,0.002258742,-0.013464056,0.016259176
5.55,0.002144058,-0.013492432,0.016247851
5.56,0.002103863,-0.013485732,0.016240608
5.57,0.002224794,-0.013498941,0.016235629
5.58,0.002226546,-0.013511758,0.016238534
5.59,0.002115843,-0.013517715,0.016253967
5.6,0.002098227,-0.01354169,0.016259483
5.61,0.002129491,-0.013538485,0.016264578
5.62,0.00223027,-0.013474829,0.01626166
5.63,0.002199161,-0.013464211,0.016255248
5.64,0.002124149,-0.013517198,0.01626231
5.65,0.002140076,-0.013558204,0.016267166
5.66,0.002190625,-0.013487105,0.016273631
5.67,0.002191509,-0.013381014,0.016286952
5.68,0.002139914,-0.013411144,0.01628072
5.69,0.002156873,-0.013544599,0.016278582
5.7,0.002233963,-0.013424959,0.016288514
5.71,0.002155367,-0.013370391,0.016274512
5.72,0.002091682,-0.013471613,0.01625517
5.73,0.002081832,-0.013550702,0.016251367
5.74,0.002179347,-0.013523564,0.016249592
5.75,0.002247551,-0.013424822,0.016259488
5.76,0.0021517,-0.01341892,0.016254682
5.77,0.002074547,-0.013507737,0.016238934
5.78,0.002101897,-0.013558068,0.016237808
5.79,0.002217222,-0.013503596,0.016242079
5.8,0.002222878,-0.013466127,0.016248296
5.81,0.002082535,-0.013498319,0.01625813
5.82,0.002140119,-0.013510559,0.01627427
5.83,0.002215609,-0.01344765,0.01627244
5.84,0.002155814,-0.013440997,0.016254037
5.85,0.002108855,-0.013491982,0.016234706
5.86,0.00212415,-0.013503237,0.016230838
5.87,0.002172921,-0.013434012,0.016244623
5.88,0.00210779,-0.013452088,0.016250915
5.89,0.002082269,-0.013499167,0.016256601
5.9,0.002165148,-0.013510569,0.016243157
5.91,0.002266555,-0.013472724,0.016234748
5.92,0.002065942,-0.013486576,0.016227417
5.93,0.002088123,-0.013513878,0.016231216
5.94,0.002179875,-0.013449996,0.016241039
5.95,0.002201748,-0.013430569,0.01624772
5.96,0.002150799,-0.013486662,0.016252381
5.97,0.0021322,-0.01350828,0.01624632
5.98,0.002190679,-0.013471405,0.016240443
5.99,0.002165664,-0.013489328,0.016228664
6,0.002158579,-0.013545082,0.016221813
6.01,0.002139889,-0.013502602,0.016226001
6.02,0.002152297,-0.013471496,0.016228654
6.03,0.002136884,-0.013507336,0.016234935
6.04,0.002138262,-0.013507545,0.016247461
6.05,0.002168247,-0.013489873,0.016262277
6.06,0.002217449,-0.013485851,0.016265626
6.07,0.002115335,-0.013516766,0.016255724
6.08,0.002136548,-0.013496606,0.016258119
6.09,0.002182753,-0.01348519,0.016259421
6.1,0.002175449,-0.01348257,0.016272048
6.11,0.002174432,-0.013450349,0.016270649
6.12,0.002157071,-0.013486645,0.016269545
6.13,0.002161629,-0.01352044,0.016257165
6.14,0.00213706,-0.013511831,0.016248505
6.15,0.002182001,-0.013470997,0.016239652
6.16,0.002180215,-0.013458561,0.0162464
6.17,0.002121282,-0.013503063,0.016254996
6.18,0.002167128,-0.013453428,0.016257385
6.19,0.002192015,-0.013465146,0.016251638
6.2,0.002169875,-0.013510186,0.016239353
6.21,0.002166878,-0.013535706,0.016230128
6.22,0.002183361,-0.013510582,0.016239591
6.23,0.00213323,-0.013453145,0.016255419
6.24,0.002107706,-0.013483628,0.016259658
6.25,0.002172207,-0.013507524,0.016254157
6.26,0.002229997,-0.01348382,0.016247959
6.27,0.002076454,-0.013455155,0.016260207
6.28,0.002134426,-0.013480822,0.016256289
6.29,0.002175879,-0.013522805,0.016255966
6.3,0.00223718,-0.013481353,0.016257504
6.31,0.002131881,-0.013445496,0.016255757
6.32,0.002118694,-0.013456839,0.016240992
6.33,0.002192155,-0.013475554,0.016220141
6.34,0.002201953,-0.013511035,0.016209154
6.35,0.002144397,-0.013547557,0.016221118
6.36,0.002154444,-0.013560386,0.016227547
6.37,0.002182032,-0.013496408,0.01621329
6.38,0.002133437,-0.013525601,0.016206265
6.39,0.002162217,-0.013538434,0.016203501
6.4,0.002160827,-0.013499257,0.016211149
6.41,0.002181913,-0.013454431,0.016233513
6.42,0.002150249,-0.013499193,0.016255372
6.43,0.002119083,-0.013528347,0.016265629
6.44,0.002126683,-0.013485163,0.016279006
6.45,0.002214713,-0.013393364,0.016285309
6.46,0.00217659,-0.013456344,0.016272491
6.47,0.002080877,-0.013535246,0.016276587
6.48,0.002150477,-0.013471892,0.016296045
6.49,0.002194119,-0.013477388,0.016311787
6.5,0.002240184,-0.01351261,0.016306856
6.51,0.002126688,-0.013542061,0.016292293
