time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right,,
7253,-0.02589901,-0.42220879,-3.27033006,0.16356677,-0.77336535,16683,2226,17928,7253
7303,-0.03400967,-0.42115884,-3.30064598,0.11576893,-0.60631843,16704,2231,17978,7303
7353,-0.03972505,-0.42024204,-3.32906716,0.12022158,-0.56842353,16725,2237,18028,7353
7403,-0.0456308,-0.41912171,-3.35748833,0.12022158,-0.56842353,16746,2243,18078,7403
7453,-0.05150233,-0.417834,-3.38590951,0.12022158,-0.56842353,16767,2249,18128,7453
7503,-0.05721825,-0.41640904,-3.42380441,0.16356677,-0.77336535,16795,2257,18178,7503
7553,-0.06507307,-0.41413153,-3.45033084,0.11576893,-0.53052863,16815,2263,18228,7553
7603,-0.07058782,-0.41237268,-3.48064676,0.12467423,-0.60631843,16837,2269,18278,7603
7656,-0.07646665,-0.41029937,-3.50527845,0.12912688,-0.49263373,16858,2277,18331,7656
7706,-0.08274206,-0.40791085,-3.54696284,0.14556744,-0.80162293,16886,2283,18381,7706
7756,-0.08929679,-0.40509796,-3.57538402,0.12267508,-0.58002401,16907,2289,18431,7756
7806,-0.09475112,-0.40257142,-3.6038052,0.12267508,-0.58002401,16928,2295,18481,7806
7856,-0.10024125,-0.3998362,-3.63222637,0.12022158,-0.56842353,16949,2301,18531,7856
7906,-0.10554323,-0.39700387,-3.6587528,0.11576893,-0.53052863,16969,2307,18581,7906
7956,-0.1105747,-0.39414198,-3.69664771,0.16029544,-0.75789804,16997,2315,18631,7956
8006,-0.11820361,-0.38941143,-3.72696363,0.11131628,-0.54135575,17019,2321,18681,8006
8056,-0.12284275,-0.38633627,-3.75538481,0.12022158,-0.56842353,17040,2327,18731,8056
8106,-0.12765835,-0.38294331,-3.79517445,0.15902325,-0.81203362,17068,2334,18781,8106
8156,-0.13397086,-0.37810873,-3.82359563,0.12022158,-0.56842353,17089,2340,18831,8156
8206,-0.13863734,-0.37431965,-3.84822732,0.12022158,-0.49263373,17109,2347,18881,8206
8256,-0.14320907,-0.37041679,-3.87854324,0.12467423,-0.60631843,17131,2353,18931,8256
8306,-0.14782527,-0.36622753,-3.90696441,0.12022158,-0.56842353,17152,2359,18981,8306
8359,-0.15216,-0.36206302,-3.94106983,0.16920074,-0.68210824,17180,2369,19034,8359
8410,-0.15805734,-0.35599725,-3.97328049,0.11131628,-0.64421334,17201,2373,19085,8410
8460,-0.16173165,-0.35196599,-4.00170167,0.12267508,-0.58002401,17222,2379,19135,8460
8510,-0.16565301,-0.34741012,-4.0282281,0.11813156,-0.54135575,17242,2385,19185,8510
8560,-0.16931144,-0.34292436,-4.05854402,0.1272186,-0.61869228,17264,2391,19235,8560
8610,-0.17318043,-0.33787537,-4.09643892,0.16029544,-0.75789804,17292,2399,19285,8610
8660,-0.17781084,-0.33133351,-4.12296536,0.11576893,-0.53052863,17312,2405,19335,8660
8710,-0.18102853,-0.3265218,-4.15328128,0.12467423,-0.60631843,17334,2411,19385,8710
8760,-0.18433508,-0.3212373,-4.18170245,0.12022158,-0.56842353,17355,2417,19435,8760
8810,-0.18737744,-0.31605299,-4.21012363,0.12022158,-0.56842353,17376,2423,19485,8810
8860,-0.19027124,-0.31078431,-4.24801853,0.16029544,-0.75789804,17404,2431,19535,8860
8910,-0.19378895,-0.3037616,-4.27643971,0.12267508,-0.58002401,17425,2437,19585,8910
