time,odo_x,odo_y,odo_theta,odo_v,odo_w,enc_left,enc_right
8137,0.99496582,0.0729663,0.13642165,0.17365339,-0.0378949,2221,2248
8187,1.00356782,0.07414713,0.14021114,0.17810604,0.0757898,2240,2269
8237,1.01238573,0.07539167,0.14021114,0.17810604,0,2260,2289
8287,1.02120364,0.0766362,0.14021114,0.24044315,0,2287,2316
8337,1.03310782,0.07831632,0.14210588,0.17365339,0.0378949,2306,2336
8387,1.04170297,0.07954603,0.14589537,0.17810604,0.0757898,2325,2357
8437,1.05051366,0.08084067,0.14968486,0.17810604,0.0757898,2344,2378
8487,1.05967161,0.08222181,0.15157961,0.22691395,0.03643741,2370,2405
8537,1.07088722,0.08393501,0.15157961,0.16920074,0,2389,2424
8587,1.07925025,0.08521247,0.15157961,0.17810604,0,2409,2444
8637,1.08805344,0.08655717,0.1553691,0.17810604,0.0757898,2428,2465
8687,1.09685148,0.08793522,0.15726384,0.17365339,0.0378949,2447,2485
8741,1.105427,0.08929507,0.1724218,0.26715906,0.30315922,2473,2519
8791,1.11832368,0.09154104,0.15915859,0.14993621,-0.27067787,2493,2532
8841,1.12572574,0.09272919,0.16105333,0.17365339,0.0378949,2512,2552
8891,1.13429605,0.09412152,0.16105333,0.17810604,0,2532,2572
8941,1.1429103,0.095521,0.16105333,0.18174086,0,2552,2592
8991,1.15187975,0.09697818,0.16294808,0.24489581,0.0378949,2579,2620
9041,1.16396234,0.09896463,0.16294808,0.17810604,0,2599,2640
9091,1.17274967,0.10040932,0.16484282,0.18255869,0.0378949,2619,2661
9141,1.18157379,0.10187723,0.16673757,0.18628438,0.03866827,2639,2682
9191,1.19075883,0.10342307,0.16673757,0.17810604,0,2659,2702
9241,1.19954063,0.10490105,0.16484282,0.2359905,-0.0378949,2686,2728
9291,1.21187858,0.1069535,0.16673757,0.16382395,0.03574991,2705,2748
9341,1.21995618,0.10831296,0.17052706,0.17810604,0.0757898,2724,2769
9391,1.22873231,0.1098242,0.17431655,0.17810604,0.0757898,2743,2790
9441,1.23750265,0.11136869,0.1762113,0.2359905,0.0378949,2769,2817
9491,1.24911946,0.11343716,0.1762113,0.17810604,0,2789,2837
9541,1.25771152,0.11496705,0.17431655,0.17719734,-0.03866827,2809,2856
9591,1.26643712,0.11650366,0.1762113,0.17365339,0.0378949,2828,2876
9641,1.27481437,0.11799529,0.17810604,0.18628438,0.03866827,2848,2897
